Rating,AAA,AA+,AA,AA-,A+,A,A-,BBB+,BBB,BBB-,BB+,BB,BB-,B+,B,B-,CCC,CC,C,Default
AAA,0.920139056,0.045586878,0.02533223,0.003312263,0.002923379,0.001364947,0.000600827,0.00019974,4.79809E-05,2.93058E-05,0.000197013,0.000198178,1.72309E-05,1.07547E-05,4.7341E-06,2.0598E-06,6.3097E-06,3.7206E-06,3.494E-07,2.30432E-05
AA+,0.023335629,0.800809416,0.094879447,0.056926829,0.014627584,0.005001253,0.000868322,0.002215391,0.000641952,0.000145034,0.000330907,5.99088E-05,2.57595E-05,2.89817E-05,8.2002E-06,3.8938E-06,2.43221E-05,1.41688E-05,1.3544E-06,5.16476E-05
AA,0.012314363,0.043279241,0.780826269,0.102266446,0.034954848,0.017877278,0.005185217,0.000731485,0.000605125,0.000230785,0.000418826,0.000407307,7.47494E-05,0.000205635,3.15992E-05,1.84519E-05,0.000262839,0.000202557,9.7941E-06,9.71841E-05
AA-,0.001019033,0.012659481,0.044101551,0.788124808,0.099860253,0.037996247,0.008011744,0.00248027,0.002770755,0.001771421,0.000286264,0.000204617,0.000304655,0.000152952,5.31157E-05,1.30272E-05,4.81987E-05,8.7894E-06,9.875E-07,0.000131829
A+,0.000363054,0.001088667,0.011009582,0.053836065,0.797748895,0.089424054,0.027468169,0.007987801,0.002783175,0.001694949,0.002187844,0.00181721,0.000484993,0.000969452,0.000491416,8.47401E-05,0.000338761,2.02582E-05,2.6936E-06,0.000198219
A,0.000801939,0.00035633,0.004899697,0.011224181,0.055862169,0.787733543,0.083751397,0.028513729,0.014789542,0.004544452,0.002674729,0.001693376,0.000980331,0.000713166,0.000358059,0.000107555,0.000588779,2.62511E-05,3.5703E-06,0.000377205
A-,0.000100603,0.000603227,0.000704077,0.00201102,0.014179278,0.064966993,0.790137091,0.078447173,0.029363774,0.01015784,0.004223779,0.001106422,0.001307407,0.001106594,0.000403449,0.000309955,0.000240442,0.000106233,8.2293E-06,0.000516414
BBB+,0.000108051,0.000323968,0.000648039,0.000863627,0.002051265,0.013927832,0.070825064,0.788211603,0.080105996,0.024725449,0.007125225,0.003563057,0.001403473,0.003131047,0.000539909,0.000648389,0.000552753,0.000112492,9.5138E-06,0.001123247
BBB,0.000536499,0.000447157,0.000626474,0.000893826,0.001966244,0.008491132,0.020735376,0.069539622,0.783508929,0.072488086,0.018678222,0.007954957,0.004557664,0.002949777,0.002771337,0.000807064,0.001370231,7.40246E-05,1.00715E-05,0.001593308
BBB-,0.000358519,0.000120657,0.000360543,0.000716088,0.000834968,0.001431538,0.003816844,0.020039653,0.095057579,0.769259882,0.053191985,0.025526079,0.012044787,0.008230008,0.002981868,0.001670286,0.001799708,0.000363183,3.07419E-05,0.002165085
BB+,0.000210413,2.51367E-05,7.57498E-05,0.000214861,0.001247851,0.001247548,0.003323088,0.007269221,0.024712366,0.110488625,0.706005324,0.061266249,0.041735343,0.015990725,0.008929821,0.00581625,0.00478895,0.001041851,0.000134795,0.005475831
BB,3.12319E-05,3.04252E-05,0.000552766,0.000186397,0.000364592,0.000729852,0.000728296,0.002912806,0.012013377,0.038410136,0.084998171,0.697016762,0.083352549,0.033856714,0.022389043,0.009465992,0.006207699,0.000729466,0.000374355,0.005649369
BB-,2.1825E-05,0.000159129,0.000158181,4.86114E-05,0.000313475,0.001245386,0.001086188,0.001396165,0.002791776,0.008840794,0.023260685,0.081108843,0.704829628,0.07598841,0.049315192,0.02016522,0.010853813,0.000951062,0.000171292,0.017294322
B+,0.000262324,2.0913E-05,0.000131748,0.000134967,0.000389758,0.000654506,0.000778892,0.00051932,0.001686883,0.002466358,0.003892341,0.027107998,0.085456098,0.709188419,0.079633278,0.04345151,0.019471061,0.004928551,0.000328366,0.019496711
B,1.66098E-05,6.2841E-06,0.000131982,2.10174E-05,0.000134399,0.000103991,0.00052246,0.001162284,0.000776249,0.001551684,0.00128942,0.00618444,0.019455453,0.085133153,0.686589568,0.099562624,0.059229721,0.003734015,0.000518582,0.033876065
B-,5.5066E-06,7.8688E-06,0.000250274,2.39314E-05,0.000125644,0.000252762,0.000494239,0.000248072,0.000495877,0.000747554,0.00073741,0.00196233,0.004921588,0.019592392,0.083630768,0.692840753,0.138200905,0.006853939,0.001465688,0.047142501
CCC,2.3459E-06,6.76659E-06,0.000182687,1.61879E-05,1.35446E-05,9.0533E-05,3.14011E-05,3.24066E-05,0.000209673,0.000465021,0.001362374,0.000578712,0.001875566,0.003283551,0.009873405,0.05332446,0.686048664,0.043699325,0.016235013,0.182668362
CC,8.76E-07,1.2501E-06,1.96738E-05,3.0566E-06,3.988E-06,1.08421E-05,1.1609E-05,1.34719E-05,4.47343E-05,0.000114063,0.000345055,0.001959494,0.001980393,0.003851799,0.005786175,0.017277003,0.118984298,0.364404874,0.03628551,0.448901834
C,2.426E-07,6.26E-07,1.01891E-05,1.5107E-06,9.336E-07,1.89E-06,2.9965E-06,2.5921E-06,1.12608E-05,2.24709E-05,3.6865E-05,5.48474E-05,0.000128005,0.000225041,0.000664745,0.007568114,0.032487491,0.014460236,0.373716911,0.570603032
Default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1